common name,download_link,species_name
White-tailed Jackrabbit,https://www.iucnredlist.org/species/pdf/45189364,Lepus townsendii
Northern Right Whale Dolphin,https://www.iucnredlist.org/species/pdf/50362415,Lissodelphis borealis
North American River Otter,https://www.iucnredlist.org/species/pdf/164577078,Lontra canadensis
Canada Lynx,https://www.iucnredlist.org/species/pdf/101138963,Lynx canadensis
Bobcat,https://www.iucnredlist.org/species/pdf/50655874,Lynx rufus
Californian Leaf-nosed Bat,https://www.iucnredlist.org/species/pdf/22031754,Macrotus californicus
Hoary Marmot,https://www.iucnredlist.org/species/pdf/122560084,Marmota caligata
Marmota flaviventris,https://www.iucnredlist.org/species/pdf/115189809,Marmota flaviventris
Marmota monax,https://www.iucnredlist.org/species/pdf/115189992,Marmota monax
Marmota olympus,https://www.iucnredlist.org/species/pdf/22257452,Marmota olympus
American Marten,https://www.iucnredlist.org/species/pdf/45212861,Martes americana
Fisher,https://www.iucnredlist.org/species/pdf/125236220,Martes pennanti
Red Brocket,https://www.iucnredlist.org/species/pdf/22154827,Mazama americana
Humpback Whale,https://www.iucnredlist.org/species/pdf/50362794,Megaptera novaeangliae
Hooded Skunk,https://www.iucnredlist.org/species/pdf/45211135,Mephitis macroura
Striped Skunk,https://www.iucnredlist.org/species/pdf/45211301,Mephitis mephitis
Microtus chrotorrhinus,https://www.iucnredlist.org/species/pdf/115196387,Microtus chrotorrhinus
Microtus longicaudus,https://www.iucnredlist.org/species/pdf/115196586,Microtus longicaudus
Microtus miurus,https://www.iucnredlist.org/species/pdf/115196813,Microtus miurus
Root Vole,https://www.iucnredlist.org/species/pdf/115113894,Microtus oeconomus
Meadow Vole,https://www.iucnredlist.org/species/pdf/115114123,Microtus pennsylvanicus
Woodland Vole,https://www.iucnredlist.org/species/pdf/115197344,Microtus pinetorum
Northern Elephant Seal,https://www.iucnredlist.org/species/pdf/45227116,Mirounga angustirostris
Hawaiian Monk Seal,https://www.iucnredlist.org/species/pdf/45227978,Monachus schauinslandi
Narwhal,https://www.iucnredlist.org/species/pdf/50367651,Monodon monoceros
Stoat,https://www.iucnredlist.org/species/pdf/45203335,Mustela erminea
Long-tailed Weasel,https://www.iucnredlist.org/species/pdf/45213820,Mustela frenata
Black-footed Ferret,https://www.iucnredlist.org/species/pdf/45200314,Mustela nigripes
Least Weasel,https://www.iucnredlist.org/species/pdf/147993366,Mustela nivalis
American Mink,https://www.iucnredlist.org/species/pdf/45214988,Mustela vison
Myotis auriculus,https://www.iucnredlist.org/species/pdf/22060698,Myotis auriculus
Myotis californicus,https://www.iucnredlist.org/species/pdf/22061366,Myotis californicus
Grey Bat,https://www.iucnredlist.org/species/pdf/22051652,Myotis grisescens
Little Brown Bat,https://www.iucnredlist.org/species/pdf/208031565,Myotis lucifugus
Northern Myotis,https://www.iucnredlist.org/species/pdf/22064312,Myotis septentrionalis
Indiana Bat,https://www.iucnredlist.org/species/pdf/22053184,Myotis sodalis
Napaeozapus insignis,https://www.iucnredlist.org/species/pdf/115194392,Napaeozapus insignis
White-nosed Coati,https://www.iucnredlist.org/species/pdf/45216060,Nasua narica
